Data e Hora,Remetente,Mensagem,Chamado,Tipo de Resposta
01/12/2024 09:12,Paulo Ajlune:,Chamado INC0092640 sendo tratado pela VTEX #123456,INC0092640,Pendente
02/12/2024 09:27,João Silva:,Chamado INC0092641 sendo tratado pela Kobe #2268,INC0092641,Pendente
03/12/2024 09:42,Maria Soares:,Chamado INC0092642 sendo tratado pela TEROS #987,INC0092642,Pendente
04/12/2024 09:52,Thiago Ramos:,Chamado INC0092643 sendo tratado pela Tuna #202501170001767,INC0092643,Pendente
05/12/2024 10:07,Fernanda Silva:,Chamado INC0092644 sendo tratado pela VTEX #765432,INC0092644,Pendente
06/12/2024 10:21,Roberto Lima:,Chamado INC0092645 sendo tratado pela Kobe #2268,INC0092645,Pendente
07/12/2024 10:31,Cláudia Mendes:,Chamado INC0092646 sendo tratado pela Tuna #202501170001767,INC0092646,Pendente
08/12/2024 10:52,Denise Moura:,Chamado INC0092647 sendo tratado pela TEROS #987,INC0092647,Pendente
09/12/2024 11:12,Juliana Prado:,Chamado INC0092648 sendo tratado pela VTEX #123456,INC0092648,Pendente
10/12/2024 11:30,Gabriel Silva:,Chamado INC0092649 sendo tratado pela Tuna #202501170001767,INC0092649,Pendente
11/12/2024 11:42,Andréa Pires:,Chamado INC0092650 sendo tratado pela Kobe #2268,INC0092650,Pendente
12/12/2024 11:53,Matheus Delgado:,Chamado INC0092651 sendo tratado pela TEROS #4567,INC0092651,Pendente
13/12/2024 12:07,Pedro Morais:,Chamado INC0092652 sendo tratado pela VTEX #999999,INC0092652,Pendente
14/12/2024 12:18,Isabela Cunha:,Chamado INC0092653 sendo tratado pela Tuna #202501170001767,INC0092653,Pendente
15/12/2024 12:32,Carlos Teixeira:,Chamado INC0092654 sendo tratado pela Kobe #2268,INC0092654,Pendente
16/12/2024 12:47,Renata Souza:,Chamado INC0092655 sendo tratado pela VTEX #888888,INC0092655,Pendente
17/12/2024 13:02,Patrícia Almeida:,Chamado INC0092656 sendo tratado pela TEROS #987,INC0092656,Pendente
18/12/2024 13:17,Luiz Fernando:,Chamado INC0092657 sendo tratado pela Tuna #202501170001767,INC0092657,Pendente
19/12/2024 13:32,Vanessa Reis:,Chamado INC0092658 sendo tratado pela VTEX #123456,INC0092658,Pendente
20/12/2024 13:47,Gustavo Nunes:,Chamado INC0092659 sendo tratado pela Tuna #202501170001767,INC0092659,Pendente
21/12/2024 14:05,Paulo Ajlune:,Chamado INC0092700 sendo tratado pela VTEX #123456,INC0092700,Pendente
22/12/2024 14:17,Paulo Ajlune:,Chamado INC0092701 sendo tratado pela Tuna #202501170001767,INC0092701,Pendente
23/12/2024 14:27,Joana Pereira:,Chamado INC0092738 sendo tratado pela Kobe #2268,INC0092738,Pendente
24/12/2024 14:37,Regina Lopes:,Chamado INC0092739 sendo tratado pela TEROS #987,INC0092739,Pendente
25/12/2024 14:52,Henrique:,Chamado INC0092740 sendo tratado pela VTEX #121212,INC0092740,Pendente
26/12/2024 15:03,Simone:,Chamado INC0092741 sendo tratado pela Tuna #202501170001767,INC0092741,Pendente
27/12/2024 15:12,Jorge Matos:,Chamado INC0092742 sendo tratado pela Kobe #2268,INC0092742,Pendente
28/12/2024 15:22,Maria Sueli:,Chamado INC0092743 sendo tratado pela TEROS #987,INC0092743,Pendente
29/12/2024 15:32,Guilherme:,Chamado INC0092744 sendo tratado pela VTEX #123456,INC0092744,Pendente
30/12/2024 15:42,Ricardo Gomes:,Chamado INC0092745 sendo tratado pela Tuna #202501170001767,INC0092745,Pendente
31/12/2024 15:52,Fábio:,Chamado INC0092746 sendo tratado pela Kobe #2268,INC0092746,Pendente
01/12/2024 16:02,Soraia:,Chamado INC0092747 sendo tratado pela TEROS #987,INC0092747,Pendente
02/12/2024 16:15,Bruno:,Chamado INC0092748 sendo tratado pelo time Quality.,INC0092748,Andamento
03/12/2024 16:25,Wesley:,Chamado INC0092749 sendo tratado pelo time Quality.,INC0092749,Andamento
04/12/2024 16:35,Felipe:,Chamado INC0092750 sendo tratado pelo time Quality.,INC0092750,Andamento
05/12/2024 16:42,Gustavo:,Chamado INC0092751 sendo tratado pela Kobe #2268,INC0092751,Pendente
06/12/2024 16:52,Adriana:,Chamado INC0092752 sendo tratado pela VTEX #333999,INC0092752,Pendente
07/12/2024 17:02,Roberto:,Chamado INC0092753 sendo tratado pela Tuna #202501170001767,INC0092753,Pendente
08/12/2024 17:12,Renato:,Chamado INC0092754 sendo tratado pela TEROS #987,INC0092754,Pendente
09/12/2024 17:22,Tânia:,Chamado INC0092755 sendo tratado pela Kobe #2268,INC0092755,Pendente
07/01/2025 18:55,Paulo Ajlune:,Chamado INC0091717 sendo tratado pela VTEX #123456,INC0091717,Pendente
11/01/2025 14:40,Paulo Ajlune:,Chamado INC0092137 sendo tratado pela Kobe #2268,INC0092137,Pendente
11/01/2025 21:25,Paulo Ajlune:,Chamado INC0092168 sendo tratado pela TEROS #987,INC0092168,Pendente
16/01/2025 14:25,Paulo Ajlune:,Chamado INC0092579 Resolvido,INC0092579,Resolvido
17/01/2025 12:11,Paulo Ajlune:,Chamado INC0092037 sendo tratado pela Tuna #202501170001767,INC0092037,Pendente
17/01/2025 12:11,Paulo Ajlune:,Chamado INC0092317 sendo tratado pelo time Quality.,INC0092317,Andamento
17/01/2025 12:11,Paulo Ajlune:,Chamado INC0092132 sendo tratado pelo time Quality.,INC0092132,Andamento
17/01/2025 12:11,Paulo Ajlune:,Chamado INC0092638 Resolvido,INC0092638,Resolvido
17/01/2025 12:11,Paulo Ajlune:,Chamado INC0092406 Resolvido,INC0092406,Resolvido
18/01/2025 12:41,Paulo Ajlune:,Chamado INC0092933 Resolvido,INC0092933,Resolvido
18/01/2025 12:42,Paulo Ajlune:,Chamado INC0092928 Resolvido,INC0092928,Resolvido
