Data e Hora,Remetente,Mensagem,Chamado,Tipo de Resposta
01/12/2024 09:12,Paulo Ajlune:,Chamado INC0092640 sendo tratado pela VTEX #123456,INC0092640,Pendente
02/12/2024 09:35,João Silva:,Chamado INC0092641 Resolvido,INC0092641,Resolvido
03/12/2024 09:45,Maria Soares:,Chamado INC0092642 Resolvido,INC0092642,Resolvido
04/12/2024 10:00,Thiago Ramos:,Chamado INC0092643 Resolvido,INC0092643,Resolvido
05/12/2024 10:13,Fernanda Silva:,Chamado INC0092644 Resolvido,INC0092644,Resolvido
06/12/2024 10:26,Roberto Lima:,Chamado INC0092645 Resolvido,INC0092645,Resolvido
07/12/2024 10:42,Cláudia Mendes:,Chamado INC0092646 Resolvido,INC0092646,Resolvido
08/12/2024 10:58,Denise Moura:,Chamado INC0092647 Resolvido,INC0092647,Resolvido
09/12/2024 11:17,Juliana Prado:,Chamado INC0092648 Resolvido,INC0092648,Resolvido
10/12/2024 11:33,Gabriel Silva:,Chamado INC0092649 Resolvido,INC0092649,Resolvido
11/12/2024 11:47,Andréa Pires:,Chamado INC0092650 Resolvido,INC0092650,Resolvido
12/12/2024 12:00,Matheus Delgado:,Chamado INC0092651 Resolvido,INC0092651,Resolvido
13/12/2024 12:10,Pedro Morais:,Chamado INC0092652 Resolvido,INC0092652,Resolvido
14/12/2024 12:22,Isabela Cunha:,Chamado INC0092653 Resolvido,INC0092653,Resolvido
15/12/2024 12:38,Carlos Teixeira:,Chamado INC0092654 Resolvido,INC0092654,Resolvido
16/12/2024 12:50,Renata Souza:,Chamado INC0092655 Resolvido,INC0092655,Resolvido
17/12/2024 13:07,Patrícia Almeida:,Chamado INC0092656 Resolvido,INC0092656,Resolvido
18/12/2024 13:20,Luiz Fernando:,Chamado INC0092657 Resolvido,INC0092657,Resolvido
19/12/2024 13:37,Vanessa Reis:,Chamado INC0092658 Resolvido,INC0092658,Resolvido
20/12/2024 13:55,Gustavo Nunes:,Chamado INC0092659 Resolvido,INC0092659,Resolvido
21/12/2024 14:10,Paulo Ajlune:,Chamado INC0092700 Resolvido,INC0092700,Resolvido
22/12/2024 14:22,Paulo Ajlune:,Chamado INC0092701 Resolvido,INC0092701,Resolvido
23/12/2024 14:30,Joana Pereira:,Chamado INC0092738 Resolvido,INC0092738,Resolvido
24/12/2024 14:42,Regina Lopes:,Chamado INC0092739 Resolvido,INC0092739,Resolvido
25/12/2024 14:57,Henrique:,Chamado INC0092740 Resolvido,INC0092740,Resolvido
26/12/2024 15:06,Simone:,Chamado INC0092741 Resolvido,INC0092741,Resolvido
27/12/2024 15:16,Jorge Matos:,Chamado INC0092742 Resolvido,INC0092742,Resolvido
28/12/2024 15:25,Maria Sueli:,Chamado INC0092743 Resolvido,INC0092743,Resolvido
29/12/2024 15:37,Guilherme:,Chamado INC0092744 Resolvido,INC0092744,Resolvido
30/12/2024 15:47,Ricardo Gomes:,Chamado INC0092745 Resolvido,INC0092745,Resolvido
31/12/2024 15:55,Fábio:,Chamado INC0092746 Resolvido,INC0092746,Resolvido
01/12/2024 16:07,Soraia:,Chamado INC0092747 Resolvido,INC0092747,Resolvido
02/12/2024 16:17,Bruno:,Chamado INC0092748 Resolvido,INC0092748,Resolvido
03/12/2024 16:27,Wesley:,Chamado INC0092749 Resolvido,INC0092749,Resolvido
04/12/2024 16:37,Felipe:,Chamado INC0092750 Resolvido,INC0092750,Resolvido
05/12/2024 16:47,Gustavo:,Chamado INC0092751 Resolvido,INC0092751,Resolvido
06/12/2024 16:57,Adriana:,Chamado INC0092752 Resolvido,INC0092752,Resolvido
07/12/2024 17:07,Roberto:,Chamado INC0092753 Resolvido,INC0092753,Resolvido
08/12/2024 17:17,Renato:,Chamado INC0092754 Resolvido,INC0092754,Resolvido
09/12/2024 17:28,Tânia:,Chamado INC0092755 Resolvido,INC0092755,Resolvido
07/01/2025 18:55,Paulo Ajlune:,Chamado INC0091717 sendo tratado pela VTEX #123456,INC0091717,Pendente
11/01/2025 14:40,Paulo Ajlune:,Chamado INC0092137 sendo tratado pela Kobe #2268,INC0092137,Pendente
11/01/2025 21:25,Paulo Ajlune:,Chamado INC0092168 sendo tratado pela TEROS #987,INC0092168,Pendente
16/01/2025 14:25,Paulo Ajlune:,Chamado INC0092579 Resolvido,INC0092579,Resolvido
17/01/2025 12:11,Paulo Ajlune:,Chamado INC0092037 sendo tratado pela Tuna #202501170001767,INC0092037,Pendente
17/01/2025 12:11,Paulo Ajlune:,Chamado INC0092317 sendo tratado pelo time Quality.,INC0092317,Andamento
17/01/2025 12:11,Paulo Ajlune:,Chamado INC0092132 sendo tratado pelo time Quality.,INC0092132,Andamento
17/01/2025 12:11,Paulo Ajlune:,Chamado INC0092638 Resolvido,INC0092638,Resolvido
17/01/2025 12:11,Paulo Ajlune:,Chamado INC0092406 Resolvido,INC0092406,Resolvido
18/01/2025 12:41,Paulo Ajlune:,Chamado INC0092933 Resolvido,INC0092933,Resolvido
18/01/2025 12:42,Paulo Ajlune:,Chamado INC0092928 Resolvido,INC0092928,Resolvido
